zts1e	Entraînement pour aventurier novice
zts2e	Explore la pierre d'espace-temps derrière le pont.
zts3e	Capture une poule derrière le pont.
zts4e	Explore la pierre d'espace-temps du niveau 5 dans la Plaine de NosVille.
zts5e	Discute avec Malcolm Mix à propos de la guilde des alchimistes.
zts6e	Explore la pierre d'espace-temps du niveau 8 dans la Plaine de NosVille.
zts7e	Va parler à Théoman Topp au magasin d'armes !
zts8e	Explore l'espace-temps de niveau 10 dans la Plaine de NosVille.
zts9e	Parle à Soraya Style dans la boutique de mode !
zts10e	Explore la pierre d'espace-temps de niveau 12 dans la Plaine de NosVille !
zts11e	Entraînement pour aventurier débutant
zts12e	Chasse des danders !
zts13e	Chasse des seedles faibles.
zts14e	Chasse de grands danders.
zts15e	Chasse des seedles.
zts16e	Chasse des seedles fortes !
zts17e	Chasse des laineux heureux.
zts18e	Chasse des pois mous.
zts19e	Chasse des hamsters heureux.
zts20e	Chasse des pois.
zts21e	Chasse des cosses de pois.
zts22e	Chasse des laineux.
zts23e	Chasse des hamsters.
zts24e	Chasse des pois durs.
zts25e	Chasse des danders toxiques faibles.
zts26e	Chasse des seedles de feu légères.
zts27e	Chasse des hamsters furieux.
zts28e	Protège NosVille !
zts29e	Chasse de petits renards.
zts30e	Chasse des mandragores heureuses.
zts31e	Chasse des danders toxiques.
zts32e	Chasse des seedles de feu.
zts33e	Chasse des mandragores.
zts34e	Chasse des laineux furieux.
zts35e	Chasse des danders venimeux forts.
zts36e	Chasse des renards.
zts37e	Chasse des seedles de feu lourdes.
zts38e	Chasse de grands renards.
zts39e	Chasse des mandragores furieuses.
zts40e	Chasse des petits pois sauvages.
zts41e	Chasse des hamsters toxiques faibles.
zts42e	Chasse de petits mouflons.
zts43e	Chasse des renards Dusis.
zts44e	Chasse des pois sauvages.
zts45e	Chasse des mouflons !
zts46e	Chasse des hamsters toxiques.
zts47e	Chasse des renards Dusi nerveux.
zts48e	Chasse des mandragores herbues faibles.
zts49e	Chasse de grands mouflons.
zts50e	Chasse de grands pois sauvages.
zts51e	Chasse des béliers.
zts52e	Chasse des mandragores herbues.
zts53e	Chasse des béliers nerveux.
zts54e	Chasse des mandragores herbues fortes.
zts55e	Fais le ménage dans le temple.
zts56e	Chasse des mimes fléau d'armes furieux.
zts57e	Chasse de petits boings fléau d'armes.
zts58e	Chasse des hamsters métalliques.
zts59e	Chasse des jellys roses.
zts60e	Chasse des diablotins.
zts61e	Chasse des vampies diaboliques.
zts62e	Chasse des boings fléau d'armes.
zts63e	Chasse des diablotins cornus heureux.
zts64e	Chasse des marcheurs de pierre fatigués.
zts65e	Chasse des marcheurs à épines nerveux.
zts66e	Chasse des renards Otos.
zts67e	Chasse de grands hamsters métalliques.
zts68e	Chasse des jellys rouges nerveux.
zts69e	Chasse des diablotins cornus.
zts70e	Chasse de grands diablotins.
zts71e	Chasse des vampies diaboliques forts.
zts72e	Chasse des renards Otos furieux.
zts73e	Chasse des flammes furieuses.
zts74e	Chasse des jellys obscures.
zts75e	Chasse des marcheurs de pierre.
zts76e	Chasse de petits diablotins sataniques.
zts77e	Chasse des diablotins cornus furieux.
zts78e	Chasse des marcheurs de pierre nerveux.
zts79e	Chasse des guerpards.
zts80e	Chasse des gargs forts.
zts81e	Chasse des diablotins sataniques.
zts82e	Chasse des gargs dingues.
zts83e	Chasse des gargs.
zts84e	Chasse de grands diablotins sataniques.
zts85e	Protège les mines !
zts86e	Chasse des mineurs heureux.
zts87e	Chasse des mineurs experts faibles.
zts88e	Chasse des mineurs.
zts89e	Chasse des mineurs furieux.
zts90e	Chasse des mineurs experts.
zts91e	Chasse des mineurs en chef fatigués.
zts92e	Chasse des mineurs experts forts.
zts93e	Chasse des mineurs en chef.
zts94e	Chasse des mineurs en chef nerveux.
zts95e	Ramasse du minerai !
zts96e	Récupère des pioches !
zts97e	Récupère des cornes cassées.
zts98e	Bataille de Kovolts !
zts99e	Chasse des épéistes koarens !
zts100e	Chasse des tireurs koarens.
zts101e	Chasse des combattants koarens.
zts102e	Chasse des épéistes koarens d'élite.
zts103e	Chasse des tireurs d'élite koarens.
zts104e	Chasse des guerriers koarens d'élite.
zts105e	Chasse des épéistes novices kenkos !
zts106e	Chasse des lanceurs de javelot novices kenkos !
zts107e	Chasse des brigands novices kenkos !
zts108e	Chasse des épéistes kenkos.
zts109e	Chasse des lanciers kenkos.
zts110e	Chasse des brigands kenkos.
zts111e	Chasse des épéistes d'élite kenkos !
zts112e	Chasse des lanciers d'élite kenkos !
zts113e	Chasse des brigands d'élite kenkos !
zts114e	Protège le Mont Krem !
zts115e	Chasse de grands diablotins sataniques.
zts116e	Chasse des gargs forts.
zts117e	Chasse des reines des abeilles furieuses.
zts118e	Chasse des loups !
zts119e	Chasse de petites araignées venimeuses.
zts120e	Chasse de petites guêpes.
zts121e	Chasse des wiggys wigglers.
zts122e	Chasse des pois épineux.
zts123e	Chasse des cochons !
zts124e	Chasse des tortues de montagne !
zts125e	Chasse des araignées faibles.
zts126e	Chasse des loups violents.
zts127e	Chasse des araignées venimeuses.
zts128e	Chasse des souffleurs !
zts129e	Chasse des lion-loups.
zts130e	Chasse des araignées faibles !
zts131e	Chasse de petites guêpes !
zts132e	Chasse des pois épineux rapides.
zts133e	Chasse des tortues de roche !
zts134e	Chasse des wigglers.
